periodo,valor
1º trimestre 1996,189323
2º trimestre 1996,204611
3º trimestre 1996,221513
4º trimestre 1996,239316
1º trimestre 1997,219117
2º trimestre 1997,232890
3º trimestre 1997,246178
4º trimestre 1997,253904
1º trimestre 1998,235701
2º trimestre 1998,251936
3º trimestre 1998,258043
4º trimestre 1998,256671
1º trimestre 1999,250668
2º trimestre 1999,268709
3º trimestre 1999,274126
4º trimestre 1999,294208
1º trimestre 2000,276927
2º trimestre 2000,292789
3º trimestre 2000,308896
4º trimestre 2000,320481
1º trimestre 2001,312470
2º trimestre 2001,323724
3º trimestre 2001,332524
4º trimestre 2001,347038
1º trimestre 2002,342297
2º trimestre 2002,367363
3º trimestre 2002,379795
4º trimestre 2002,399333
1º trimestre 2003,397242
2º trimestre 2003,418987
3º trimestre 2003,439350
4º trimestre 2003,462372
1º trimestre 2004,444783
2º trimestre 2004,481795
3º trimestre 2004,505252
4º trimestre 2004,525920
1º trimestre 2005,499710
2º trimestre 2005,535557
3º trimestre 2005,552859
4º trimestre 2005,582458
1º trimestre 2006,554270
2º trimestre 2006,581977
3º trimestre 2006,617848
4º trimestre 2006,655355
1º trimestre 2007,631423
2º trimestre 2007,670655
3º trimestre 2007,691846
4º trimestre 2007,726339
1º trimestre 2008,712055
2º trimestre 2008,769525
3º trimestre 2008,812603
4º trimestre 2008,815620
1º trimestre 2009,756127
2º trimestre 2009,803577
3º trimestre 2009,852843
4º trimestre 2009,920492
1º trimestre 2010,886397
2º trimestre 2010,944145
3º trimestre 2010,997935
4º trimestre 2010,1057370
1º trimestre 2011,1016531
2º trimestre 2011,1086712
3º trimestre 2011,1112334
4º trimestre 2011,1160805
1º trimestre 2012,1129474
2º trimestre 2012,1183126
3º trimestre 2012,1230449
4º trimestre 2012,1271711
1º trimestre 2013,1241613
2º trimestre 2013,1322580
3º trimestre 2013,1354134
4º trimestre 2013,1413292
1º trimestre 2014,1385982
2º trimestre 2014,1422323
3º trimestre 2014,1462126
4º trimestre 2014,1508522
1º trimestre 2015,1456654
2º trimestre 2015,1479965
3º trimestre 2015,1508228
4º trimestre 2015,1550940
1º trimestre 2016,1500319
2º trimestre 2016,1559071
3º trimestre 2016,1577172
4º trimestre 2016,1632766
1º trimestre 2017,1585585
2º trimestre 2017,1630638
3º trimestre 2017,1648631
4º trimestre 2017,1720626
1º trimestre 2018,1682460
2º trimestre 2018,1734454
3º trimestre 2018,1767868
4º trimestre 2018,1819359
1º trimestre 2019,1756054
2º trimestre 2019,1825143
3º trimestre 2019,1880548
4º trimestre 2019,1927386
1º trimestre 2020,1873398
2º trimestre 2020,1757517
3º trimestre 2020,1929703
4º trimestre 2020,2048979
1º trimestre 2021,2152622
2º trimestre 2021,2182049
3º trimestre 2021,2254492
4º trimestre 2021,2309564
1º trimestre 2022,2315709
2º trimestre 2022,2471837
3º trimestre 2022,2543645
4º trimestre 2022,2584126
1º trimestre 2023,2556531
2º trimestre 2023,2651156
